iter	RMSE
0	13.92154968
1	13.52325885
2	13.15964901
3	12.84147461
4	12.54938618
5	12.3028487
6	12.09137001
7	11.92234264
8	11.7686033
9	11.6010313
10	11.485874
11	11.3368173
12	11.22269812
13	11.12300571
14	11.01978524
15	10.95435202
16	10.86646857
17	10.7627678
18	10.70503295
19	10.53146193
20	10.46586651
21	10.38349387
22	10.34160641
23	10.28842346
24	10.24230984
25	10.1879962
26	10.14885441
27	10.02963568
28	9.975401356
29	9.938177788
30	9.828642662
31	9.787380514
32	9.757515938
33	9.678338502
34	9.630997884
35	9.588952905
36	9.546040752
37	9.516722275
38	9.474018753
39	9.447817032
40	9.408586889
41	9.376292295
42	9.353192262
43	9.334082328
44	9.305355649
45	9.279447266
46	9.255556081
47	9.21519128
48	9.187597956
49	9.147434623
50	9.081818615
51	9.052575205
52	9.023630399
53	8.991941737
54	8.945797304
55	8.863243824
56	8.84735213
57	8.810986755
58	8.743489699
59	8.724269316
60	8.705125741
61	8.688765754
62	8.674475548
63	8.653380395
64	8.60761835
65	8.590871039
66	8.568289943
67	8.524752582
68	8.505049327
69	8.473261977
70	8.44823346
71	8.434140806
72	8.416220197
73	8.401630758
74	8.382415006
75	8.367185176
76	8.352706893
77	8.332734776
78	8.294254673
79	8.256290059
80	8.232145545
81	8.21908493
82	8.194476954
83	8.171506648
84	8.149116848
85	8.127437397
86	8.113172758
87	8.094043643
88	8.07303194
89	8.05356238
90	8.029051208
91	7.989882062
92	7.951833318
93	7.922109947
94	7.909513487
95	7.88472316
96	7.858756907
97	7.839316969
98	7.809797098
99	7.794848285
100	7.774998025
101	7.74246055
102	7.725467766
103	7.707289366
104	7.691702388
105	7.676803215
106	7.658271835
107	7.645666033
108	7.625866396
109	7.609117229
110	7.595710841
111	7.579051962
112	7.561850127
113	7.546790416
114	7.532666388
115	7.513028977
116	7.49846674
117	7.487012533
118	7.474064774
119	7.456073278
120	7.430183132
121	7.415362981
122	7.40727576
123	7.369821751
124	7.35703543
125	7.328771292
126	7.314800173
127	7.289632501
128	7.279564248
129	7.253817057
130	7.244222005
131	7.216982545
132	7.199174742
133	7.1865466
134	7.176194848
135	7.15628248
136	7.128783295
137	7.118023436
138	7.104088335
139	7.091455163
140	7.079349952
141	7.069587249
142	7.057397097
143	7.040013512
144	7.027918646
145	7.015292516
146	6.996041856
147	6.973162586
148	6.950030968
149	6.929691635
150	6.906485578
151	6.897038621
152	6.884833521
153	6.871169325
154	6.858922976
155	6.851249614
156	6.837078307
157	6.824490501
158	6.804082865
159	6.79368349
160	6.782779182
161	6.765340854
162	6.753460094
163	6.741008483
164	6.732225142
165	6.723116287
166	6.708863546
167	6.699263245
168	6.683883739
169	6.669829052
170	6.656471119
171	6.645159539
172	6.632843015
173	6.618381415
174	6.602885924
175	6.589706571
176	6.579588507
177	6.569187042
178	6.559704346
179	6.552887056
180	6.532414382
181	6.509268126
182	6.498638842
183	6.489395297
184	6.479776205
185	6.463688669
186	6.451988759
187	6.444307063
188	6.427443816
189	6.417701078
190	6.410899544
191	6.400352255
192	6.39093364
193	6.37660395
194	6.370294231
195	6.359987187
196	6.348839337
197	6.33718285
198	6.322510915
199	6.315390164
200	6.305884026
201	6.299383453
202	6.288385911
203	6.279119283
204	6.27035609
205	6.262499214
206	6.25218421
207	6.238404681
208	6.228242865
209	6.219204872
210	6.21343095
211	6.207630625
212	6.200011187
213	6.193004812
214	6.181109775
215	6.172653101
216	6.164234068
217	6.144742806
218	6.139080727
219	6.127433172
220	6.118570095
221	6.112242359
222	6.104096206
223	6.095273958
224	6.085880899
225	6.08012721
226	6.072956047
227	6.059142815
228	6.048838575
229	6.040438984
230	6.036340545
231	6.018125901
232	6.008546048
233	5.999049606
234	5.990706069
235	5.983303371
236	5.976106883
237	5.971916058
238	5.963639436
239	5.948641185
240	5.938685013
241	5.927959105
242	5.920493497
243	5.911441086
244	5.904069627
245	5.897465463
246	5.889837221
247	5.878660142
248	5.868038768
249	5.853911511
250	5.840345443
251	5.833286946
252	5.826867099
253	5.818420968
254	5.810966644
255	5.80008931
256	5.794087252
257	5.785707323
258	5.7783352
259	5.771413239
260	5.765641154
261	5.756375698
262	5.740316842
263	5.734908301
264	5.727174472
265	5.720728642
266	5.716658389
267	5.700690097
268	5.683065574
269	5.673725494
270	5.667045989
271	5.65792302
272	5.654750627
273	5.646552497
274	5.641626607
275	5.634413317
276	5.624839678
277	5.619488849
278	5.603630887
279	5.595884688
280	5.590158025
281	5.58197663
282	5.570227931
283	5.561507723
284	5.558267906
285	5.555341022
286	5.549205593
287	5.540105207
288	5.530831026
289	5.525091381
290	5.519200669
291	5.512099593
292	5.502616868
293	5.497338865
294	5.492081149
295	5.483408715
296	5.474847782
297	5.471328306
298	5.465452177
299	5.459568376
300	5.455833575
301	5.447631861
302	5.436970645
303	5.428331126
304	5.421471956
305	5.415437451
306	5.4096609
307	5.403451673
308	5.398296015
309	5.392554757
310	5.38730774
311	5.382153913
312	5.377493263
313	5.371927738
314	5.365329687
315	5.353572563
316	5.348998667
317	5.343223379
318	5.338114285
319	5.334617186
320	5.326206722
321	5.318986562
322	5.313260344
323	5.308083883
324	5.302652026
325	5.297009947
326	5.290984546
327	5.285057941
328	5.277444001
329	5.269246382
330	5.263474839
331	5.257908369
332	5.252119243
333	5.246396678
334	5.241334501
335	5.233543317
336	5.225410598
