iter	Passed	Remaining
0	10	10697
1	17	8622
2	25	8395
3	32	8104
4	40	8157
5	50	8339
6	59	8443
7	67	8321
8	75	8284
9	82	8150
10	90	8093
11	97	7991
12	104	7933
13	111	7845
14	118	7769
15	126	7759
16	134	7754
17	142	7758
18	149	7704
19	157	7721
20	165	7708
21	172	7682
22	180	7650
23	187	7621
24	194	7593
25	202	7567
26	208	7501
27	214	7437
28	221	7428
29	228	7395
30	235	7361
31	241	7310
32	248	7289
33	255	7261
34	261	7210
35	268	7184
36	275	7166
37	281	7137
38	288	7118
39	294	7078
40	301	7053
41	310	7073
42	318	7077
43	324	7045
44	331	7031
45	338	7016
46	345	6998
47	352	6984
48	358	6966
49	365	6939
50	372	6933
51	378	6908
52	386	6906
53	393	6888
54	400	6881
55	407	6868
56	413	6845
57	421	6840
58	428	6835
59	435	6821
60	441	6794
61	446	6752
62	451	6719
63	457	6690
64	462	6654
65	468	6623
66	473	6593
67	478	6562
68	483	6525
69	488	6490
70	494	6463
71	499	6435
72	504	6407
73	510	6384
74	515	6360
75	521	6336
76	526	6309
77	531	6282
78	536	6256
79	541	6229
80	547	6206
81	551	6178
82	556	6153
83	562	6129
84	567	6108
85	572	6089
86	578	6071
87	583	6049
88	588	6026
89	593	6002
90	598	5983
91	604	5963
92	609	5943
93	615	5930
94	620	5909
95	625	5889
96	630	5869
97	635	5849
98	640	5832
99	646	5817
100	651	5796
101	656	5782
102	661	5763
103	666	5745
104	671	5724
105	676	5706
106	681	5688
107	686	5670
108	691	5653
109	696	5636
110	702	5622
111	707	5606
112	712	5591
113	717	5576
114	722	5561
115	727	5546
116	732	5530
117	738	5517
118	743	5504
119	748	5491
120	754	5480
121	759	5467
122	764	5452
123	769	5439
124	775	5430
125	781	5419
126	786	5405
127	791	5393
128	796	5378
129	801	5366
130	807	5355
131	812	5341
132	817	5330
133	823	5322
134	828	5308
135	833	5295
136	839	5285
137	844	5273
138	849	5260
139	854	5247
140	859	5234
141	863	5220
142	868	5205
143	873	5191
144	878	5178
145	882	5164
146	887	5151
147	892	5138
148	897	5127
149	902	5114
150	907	5103
151	912	5091
152	918	5083
153	924	5076
154	929	5068
155	935	5062
156	941	5057
157	947	5050
158	953	5043
159	959	5037
160	965	5032
161	971	5023
162	976	5014
163	981	5005
164	987	4996
165	992	4987
166	997	4977
167	1003	4967
168	1008	4958
169	1013	4950
170	1020	4945
171	1026	4940
172	1032	4934
173	1038	4928
174	1043	4919
175	1048	4909
176	1053	4900
